HomeTeam,AwayTeam,Home_curr_pos,Away_curr_pos,Home_W/MP,Away_W/MP,Home_D/MP,Away_D/MP,Home_L/MP,Away_L/MP,HSoT/90,ASoT/90,HAS,AAS,HDS,ADS,past_h2h,home_past_form1,home_past_form2,home_past_form3,away_past_form1,away_past_form2,away_past_form3,B365H,B365D,B365A
Burnley,Tottenham,10.0,7.0,0.39285714285714285,0.39285714285714285,0.17857142857142858,0.25,0.42857142857142855,0.35714285714285715,3.4285714285714284,4.571428571428571,0.9026128266033254,1.0919540229885059,1.0344827586206897,1.1401425178147269,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.7,3.3,2.62
Chelsea,Everton,4.0,11.0,0.4642857142857143,0.35714285714285715,0.21428571428571427,0.25,0.32142857142857145,0.39285714285714285,5.642857142857143,4.785714285714286,0.8551068883610452,1.0344827586206897,0.8620689655172413,1.2826603325415677,0.0,1.0,2.0,0.0,1.0,2.0,2.0,1.8,3.9,4.2
Man United,Man City,5.0,2.0,0.39285714285714285,0.6666666666666666,0.32142857142857145,0.1111111111111111,0.2857142857142857,0.2222222222222222,5.714285714285714,6.925925925925926,1.2826603325415677,2.0114942528735633,0.689655172413793,0.8076009501187648,2.0,1.0,2.0,0.0,0.0,2.0,2.0,5.0,4.33,1.6
Leicester,Aston Villa,3.0,19.0,0.5357142857142857,0.25925925925925924,0.17857142857142858,0.14814814814814814,0.2857142857142857,0.5925925925925926,5.214285714285714,4.2592592592592595,1.2351543942992875,0.9195402298850573,0.8620689655172413,1.330166270783848,2.0,2.0,0.0,1.0,2.0,0.0,2.0,1.36,5.25,8.0
Aston Villa,Sheffield United,19.0,8.0,0.25925925925925924,0.37037037037037035,0.14814814814814814,0.37037037037037035,0.5925925925925926,0.25925925925925924,4.2592592592592595,3.2962962962962963,0.9208843413118948,0.8045977011494253,1.4854111405835544,0.6139228942079299,0.0,2.0,2.0,0.0,2.0,1.0,2.0,3.2,3.4,2.25
Man City,Arsenal,2.0,9.0,0.6666666666666666,0.32142857142857145,0.1111111111111111,0.4642857142857143,0.2222222222222222,0.21428571428571427,6.925925925925926,3.892857142857143,1.688287959071807,0.8664898320070733,0.7427055702917772,0.8185638589439065,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.36,5.25,7.5
Norwich,Southampton,20.0,14.0,0.1724137931034483,0.3448275862068966,0.20689655172413793,0.13793103448275862,0.6206896551724138,0.5172413793103449,3.9655172413793105,4.517241379310345,0.9006211180124224,1.1244897959183675,1.5387755102040817,0.9954233409610984,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.8,3.5,2.45
Tottenham,Man United,8.0,5.0,0.3793103448275862,0.41379310344827586,0.27586206896551724,0.3103448275862069,0.3448275862068966,0.27586206896551724,4.482758620689655,5.724137931034483,1.2798300098071265,0.8877551020408163,0.8877551020408163,0.8532200065380844,0.0,1.0,0.0,2.0,2.0,1.0,2.0,3.0,3.4,2.37
Watford,Leicester,17.0,3.0,0.20689655172413793,0.5517241379310345,0.3103448275862069,0.1724137931034483,0.4827586206896552,0.27586206896551724,3.1379310344827585,5.275862068965517,0.7584177835894083,1.6571428571428573,1.0061224489795917,0.6162144491663942,0.0,2.0,2.0,2.0,2.0,2.0,0.0,3.6,3.5,2.05
Brighton,Arsenal,15.0,9.0,0.20689655172413793,0.3103448275862069,0.3793103448275862,0.4482758620689655,0.41379310344827586,0.2413793103448276,4.137931034482759,3.7586206896551726,0.8058188950637463,0.8285714285714286,0.8877551020408163,0.9006211180124224,2.0,1.0,0.0,1.0,2.0,2.0,2.0,3.1,3.25,2.37
